0, 2233
1, 8253
2, 13602
3, 8212
4, 4792
5, 3834
6, 2882
7, 2041
8, 1522
9, 1194
10, 960
11, 650
12, 587
13, 517
14, 503
15, 385
16, 371
17, 255
18, 248
19, 165
20, 171
21, 162
22, 132
23, 139
24, 117
25, 95
26, 91
27, 91
28, 81
29, 67
30, 67
31, 61
32, 62
33, 49
34, 71
35, 39
36, 37
37, 22
38, 27
39, 26
40, 133
41, 17
42, 21
43, 21
44, 8
45, 11
46, 9
47, 7
48, 12
49, 7
50, 11
51, 9
52, 5
53, 5
54, 7
55, 7
56, 4
57, 5
58, 3
59, 6
60, 1
61, 8
62, 7
63, 2
64, 2
65, 1
66, 1
67, 5
68, 7
69, 2
70, 1
71, 1
72, 2
73, 2
74, 2
75, 1
76, 1
77, 5
78, 3
79, 1
80, 1
81, 2
83, 2
84, 1
85, 1
86, 2
87, 3
89, 2
90, 1
91, 1
92, 2
93, 1
94, 2
95, 1
105, 1
112, 1
115, 1
118, 1
122, 1
128, 1
129, 1
130, 1
133, 1
139, 1
140, 1
141, 1
146, 2
148, 1
150, 1
152, 1
168, 1
172, 1
187, 1
188, 1
197, 1
200, 1
202, 1
203, 1
245, 1
246, 1
258, 1
381, 1
1147, 1
1698, 1
avg, 0.217096
